sep=,
NR,devices_phones.p1,devices_phones.p2,devices_phones.p3,devices_computers.c1,devices_computers.c2,devices_computers.c3,devices_tablets.t1,devices_tablets.t2,devices_smart_watches.sw1,devices_smart_watches.sw2,devices_security_keys.s1,devices_security_keys.s2,How important is the LinkedIn account for you?,linkedin_password.,linkedin_password.1,linkedin_password.2,linkedin_password.3,linkedin_password_pwm.p1,linkedin_password_pwm.p2,linkedin_password_pwm.p3,linkedin_password_pwm.c1,linkedin_password_pwm.c2,linkedin_password_pwm.c3,linkedin_password_pwm.t1,linkedin_password_pwm.t2,linkedin_password_device.p1,linkedin_password_device.p2,linkedin_password_device.p3,linkedin_password_device.c1,linkedin_password_device.c2,linkedin_password_device.c3,linkedin_password_device.t1,linkedin_password_device.t2,linkedin_2fa_enabled,linkedin_2fa,linkedin_2fa_auth_app.p1,linkedin_2fa_auth_app.p2,linkedin_2fa_auth_app.p3,linkedin_2fa_auth_app.c1,linkedin_2fa_auth_app.c2,linkedin_2fa_auth_app.c3,linkedin_2fa_auth_app.t1,linkedin_2fa_auth_app.t2,linkedin_recovery_codes,linkedin_recovery_codes.p1,linkedin_recovery_codes.p2,linkedin_recovery_codes.p3,linkedin_recovery_codes.c1,linkedin_recovery_codes.c2,linkedin_recovery_codes.c3,linkedin_recovery_codes.t1,linkedin_recovery_codes.t2,linkedin_2fa_phone.p 1,linkedin_2fa_phone.p 2,linkedin_2fa_phone.p 3,linkedin_recovery.fallback_email,linkedin_recovery.fallback_phone,linkedin_fallback_phone.p1,linkedin_fallback_phone.p2,linkedin_fallback_phone.p3
1,p1,,,c1,c2,c3,,,sw1,,,,3,0,,2,,,,,,,,,,p1,,,c1,,c3,,,no,,,,,,,,,,,,,,,,,,,,,,fallback_email,,,,
2,p1,p2,,c1,c2,,t1,,,,s1,,4,,1,,,p1,p2,,,,,,,,,,,,,,,no,,,,,,,,,,,,,,,,,,,,,,fallback_email,,,,
3,p1,,,c1,c2,,,,sw1,,,,2,,,2,,,,,,,,,,p1,,,c1,c2,,,,yes,2fa_phone,,,,,,,,,,,,,,,,,,p1,,,fallback_email,fallback_phone,p1,,
4,p1,,,c1,c2,,,,,,,,2,0,,,,,,,,,,,,,,,,,,,,no,,,,,,,,,,,,,,,,,,,,,,fallback_email,fallback_phone,p1,,
6,p1,p2,,c1,c2,,,,,,,,3,0,,2,,,,,,,,,,,,,c1,,,,,no,,,,,,,,,,,,,,,,,,,,,,fallback_email,fallback_phone,p1,,
10,p1,,,c1,,,,,sw1,,,,3,,,2,,,,,,,,,,,,,c1,,,,,no,,,,,,,,,,,,,,,,,,,,,,fallback_email,,,,
12,p1,,,c1,c2,,,,,,,,4,,1,,,p1,,,c1,c2,,,,,,,,,,,,no,,,,,,,,,,,,,,,,,,,,,,fallback_email,,,,
15,p1,,,c1,c2,,,,sw1,,,,4,0,,,,,,,,,,,,,,,,,,,,yes,2fa_auth_app,p1,,,,,,,,No,,,,,,,,,,,,fallback_email,fallback_phone,p1,,
18,p1,,,c1,c2,c3,t1,,,,,,2,0,,,,,,,,,,,,,,,,,,,,no,,,,,,,,,,,,,,,,,,,,,,fallback_email,,,,
19,p1,,,c1,,,t1,,sw1,,,,2,,1,2,,p1,,,,,,,,,,,c1,,,,,no,,,,,,,,,,,,,,,,,,,,,,fallback_email,,,,
20,p1,p2,,c1,c2,,,,,,,,3,0,,,,,,,,,,,,,,,,,,,,yes,2fa_phone,,,,,,,,,,,,,,,,,,p1,,,fallback_email,fallback_phone,p1,,
21,p1,,,,,,,,sw1,,,,3,0,,,,,,,,,,,,,,,,,,,,no,,,,,,,,,,,,,,,,,,,,,,fallback_email,fallback_phone,p1,,
23,p1,,,c1,c2,c3,,,,,,,3,,1,,,,,,c1,c2,c3,,,,,,,,,,,no,,,,,,,,,,,,,,,,,,,,,,fallback_email,fallback_phone,p1,,
25,p1,,,c1,,,,,sw1,,,,1,0,,,,,,,,,,,,,,,,,,,,no,,,,,,,,,,,,,,,,,,,,,,fallback_email,,,,
26,p1,,,c1,,,,,sw1,,,,4,,1,,,p1,,,,,,,,,,,,,,,,no,,,,,,,,,,,,,,,,,,,,,,fallback_email,,,,
27,p1,,,c1,c2,,,,,,,,1,,1,,,p1,,,c1,c2,,,,,,,,,,,,no,,,,,,,,,,,,,,,,,,,,,,fallback_email,,,,
28,p1,,,c1,c2,,t1,,,,,,4,0,,,,,,,,,,,,,,,,,,,,yes,2fa_auth_app,p1,,,c1,c2,,,,No,,,,,,,,,,,,fallback_email,fallback_phone,p1,,
30,p1,,,c1,c2,c3,,,,,,,4,0,,,,,,,,,,,,,,,,,,,,no,,,,,,,,,,,,,,,,,,,,,,fallback_email,,,,
